Leiten	guiding
auxin	オーキシン
make	makeup
證人	witnesses
捷径	shortcut
verbindlich	Binding
記號	Symbol
vet	獣醫
unterdrückte	repressed
suzuka	鈴鹿
Southwestern	西南
备考	Remarks
Singles	單曲
ボンヌ	bonne
tavern	Taverne
援軍	reinforcements
Musketier	Musketeer
flirting	Flirten
冒失鬼	daredevil
Battlefield	戰地
subclasses	Unterklassen
Each	每个
bucharest	bukarest
Scandinavia	Skandinavien
damages	損害賠償
sahashi	佐橋
collectivity	集體
前卫	vanguard
オリジナル	originals
nachahmungen	Imitation
Schnellboote	speedboats
inverse	Umgekehrt
Fugitive	Flüchtigen
portrait	Porträt
Enticing	Verführerisch
Communicating	kommunizieren
Harmonica	口琴
empowerment	stärkung
volatility	挥发性
晴れやか	radiant
spiritualism	spiritismus
希尔	hill
設備	facilities
lemurs	lemuren
Übertragung	Transfer
anxious	ängstlich
失误	Mistakes
Autobiographie	Autobiography
anthracen	Anthracene
perhaps	womöglich
explicitly	Explizit
flourish	Gedeihen
Headdress	kopfschmuck
advertised	Geworben
Maps	地図
Nebenprodukt	byproduct
Assembling	Montieren
Surname	nachnamen
Confrontations	Auseinandersetzungen
stilllegung	closure
displaced	Vertriebene
Scam	詐騙
雄鹿	stag
operands	operanden
租	Rent
allowable	Zulässigen
Ruin	Verderben
interruptions	Unterbrechungen
continuation	Fortführung
borders	边境
verdünnung	dilute
insemination	befruchtung
Refresh	erneuern
Compress	komprimiert
dignity	品格
Literature	Fachliteratur
Yoshinori	义教
provinzen	provinces
experience	erleben
グラハム	Graham
zeitschriften	Magazine
Drills	übungen
Geneigt	tilted
Andreyevich	Andrejewitsch
vorbildlich	Exemplary
höflinge	courtiers
Vernunft	Rationality
insurgency	叛乱
dominieren	Dominate
Poppy	罌粟
münze	Coin
Scattering	streuung
Comedies	komödien
Wachtürmen	Watchtowers
Wrongs	unrecht
Voller	Full
pornostars	pornstars
krieg	warfare
ephesos	Ephesus
Totally	完全
結構	Structural
Disketten	disks
processed	Bearbeitet
Multilayer	多層
Rotation	旋轉
アミラーゼ	Amylase
blonde	blonden
Arranging	ordnen
umleiten	redirection
constantine	konstantin
寸法	Dimensions
与える	Give
包括	included
convergence	收敛
langlebigkeit	Durability
vitaliy	witalij
build	建
Farra	法拉
reinforcement	強化
lecture	演講
Briganten	Brigantes
universalismus	universalism
hiroo	広尾
Floodlight	flutlicht
溫室	conservatory
Mörder	murderers
births	诞生
umfassende	Comprehensive
pudding	Custard
will	werde
Persuade	überreden
Ausdrücken	expression
fusionen	merger
Subjects	sachgebiete
Hyun	ヒョン
Motives	motiven
difficult	Schwer
owe	Schuldet
pork	豚肉
larch	Lärche
Teams	チーム
Premiums	保费
transmits	Überträgt
Contacts	Ansprechpartner
sqm	qm
Lokale	Local
grenze	Borderline
Hasselt	ハッセルト
annihilated	Vernichtet
Vergütung	Salary
monokultur	monoculture
Manifold	Mannigfaltigkeit
successive	aufeinander
遥控器	Remote
晚会	Gala
Struggled	Kämpfte
北京市	Beijing
tränen	Tears
Wiedereinführung	reinstatement
estimations	估计
ticken	ticking
landless	landlosen
Catalogues	katalogen
凱撒	Caesar
ログイン	Login
dorf	Villages
Golden	Goldene
Revocation	verfall
アミロース	Amylose
宝座	throne
clauses	条項
allerdings	however
skilfully	gekonnt
Waffle	waffel
Bouquet	Strauss
typologische	typological
Reimbursed	zurückerstattet
programme	プログラム
Feminism	フェミニズム
Deter	Abschrecken
Riegel	Latch
Fiktive	Fictional
polyphonic	mehrstimmige
令狀	Warrant
Female	weibliche
マサチューセッツ	massachusetts
Activation	Aktivierung
Analytischen	Analytical
Einsichten	insight
Arabic	arabische
Wise	Weise
virgins	Jungfrauen
Absurde	absurd
Anchoring	Verankerung
修補	patch
Counterfeiting	fälschungen
breakthroughs	Durchbruch
fund	Fonds
questioned	Angezweifelt
notification	benachrichtigungen
fälligkeit	maturity
Governmental	staatliche
picasso	ピカソ
選択	Selections
Moisture	湿度
redeemed	erlöst
Bewertung	Review
妓院	brothel
Unterstützte	supported
Sought	Suchten
專業人士	Professionals
Notwithstanding	Trotz
Mietwagen	car
messgeräte	measuring
subordinate	Untergebenen
biaggi	ビアッジ
Eikichi	栄吉
dissolve	溶かす
savoy	savoyen
太古	Swire
hafnium	ハフニウム
kupplung	coupling
Fortsetzung	continuation
Condolences	beileid
Tied	捆綁
German	德文
Nishijima	西島
吉备	kibi
Diskutieren	Discussing
Ziele	aims
erwartungsgemäß	predictably
unprotected	Schutzlos
retaliate	Zurückschlagen
gipsy	ジプシー
亮	Ryo
ambulance	krankenwagen
Ampang	アンパン
Synapses	Synapsen
Hanger	bügel
Spectacle	schauspiel
auslöser	Triggering
Verification	Nachprüfung
Commitment	Engagement
veins	venen
流动	mobility
pathogenicity	schädlichkeit
Überflutet	Flooded
Premier	總理
Extermination	Ausrottung
Monks	mönchen
Margen	margins
Stationary	stationär
组合	Mix
mama	mum
darlehen	loan
transport	verkehrsmittel
fahrkarten	Tickets
Etwas	Slightly
Giessen	gießen
Taler	thalers
Stolpert	stumbles
Wasserhahn	faucet
Tunisians	Tunesier
Zusammenstellung	compilation
imperfection	欠陥
Ethnicity	民族
Überfälle	Robberies
Rechtsstreit	Litigation
Verstümmelt	mangled
befürchtungen	anxieties
augusta	オーガスタ
echizen	越前
atsuta	热田
disadvantaged	Benachteiligt
Anordnung	arrangement
Spalte	column
Shooting	Schiessen
Verhaften	Arrest
searches	sucht
Eintragung	Entry
serb	Serbische
wjatscheslaw	Vyacheslav
Subtle	raffiniert
Refinery	raffinerie
Stinkt	Stink
草擬	drafted
peter	彼得
impurity	穢れ
Abgekühlt	cooled
Residues	Rückständen
Smooth	glatten
rhizopus	クモノスカビ
Vorsichtig	Careful
logistical	Logistischen
Horizontal	Waagerecht
fassen	Grasp
sachverhalt	facts
wjasma	Vyazma
Enthalpy	enthalpie
Vocational	beruflichen
leptons	Leptonen
Suzanne	スザンヌ
betreut	Supervised
mittler	Intermediaries
チューリップ	tulip
Porträts	Portraits
Vielschichtigkeit	Complexity
prettiest	Schönsten
Stocks	股票
兒科	pediatric
マルファッティ	malfatti
bedauerlicherweise	Unfortunately
spectacular	Spektakuläre
Microphone	mikrofon
Shocker	Schocker
ハゲワシ	Vulture
𫓧	Flerovium
Abstained	Stimmenthaltung
reisepass	Passports
Virtuose	Virtuoso
褲子	Trousers
Conclusions	Schlußfolgerung
cutting	zerlegen
ほら贝	Conch
losing	Verliert
billiards	Tischtennis
ニカ	Nica
Nvv	Npt
Eta	ankunftszeit
zusammenlegung	amalgamation
turmoil	動盪
illicit	Illegale
Ohnmacht	Impotence
vektorisiert	Vectorized
oligarchs	oligarchen
insurance	保险费
ウッドロウ	Woodrow
Jakob	jacob
Polnischen	Polish
Distract	ablenken
piracy	盜版
Berührte	Touched
華やか	Glamorous
kontinuierlich	continually
besucherzahlen	admissions
benutzerdefinierte	custom
高嶺	takamine
wissenswertes	trivia
独一无二	unique
reasons	理由
jumpsuit	overall
輪換	rotation
Kleve	cleves
satz	Sentence
ansprache	Address
attribut	Attributes
fermium	フェルミウム
地元	Locally
Bedeutende	Eminent
Slot	Slots
僱用	hire
罚款	fines
Helix	spirale
Spitze	Peak
eroberer	Conquerors
杀人犯	Murderer
Kommerziell	Commercially
Remediation	補救
churchgoers	Kirchgänger
Verschwunden	vanished
imitating	imitiert
Pfund	pound
Jüngsten	youngest
alten	old
deny	否認
waadt	vaud
Toss	擲
Staminodien	staminodes
Receivers	Receiver
flakes	flocken
坛	Altar
Florentiner	florentine
hübel	huebel
islet	島嶼
Mink	貂
Smoked	熏製
Worldview	weltsicht
Dormer	ドーマー
aphasie	aphasia
gelingt	Succeeds
personifizierung	Personification
sah	Beheld
ディオ	dio
gebühren	Dues
Sore	wunden
オト	oto
Aktivator	activator
Auseinandersetzungen	clashes
spirituals	霊歌
park	公园
Distinguish	Unterscheidet
strain	Dehnung
apprentice	Auszubildende
surety	bürgen
キュリウム	curium
continuous	kontinuierlich
Geschichte	history
Ritus	Rite
abreise	departing
lexicographer	Lexikograf
Pay	bezahlen
ドロー	draw
Invested	investiert
イリーナ	irina
Geologische	geological
單車	Bike
Spielen	Games
Speculate	spekulation
橱柜	cupboards
angemessen	appropriately
Spendenaktion	Fundraiser
Testimonies	zeugnisse
decompose	zersetzen
prologue	序幕
forage	饲料
empfindungen	Sensation
Steuerpflichtigen	taxpayer
mad	Wütend
alo	アロ
shops	Einkaufsmöglichkeiten
龍蝦	Lobster
Sacrament	Sakrament
schwarze	Blacks
Blicke	Gaze
gezwungen	coerced
fertilisers	düngemitteln
ジャングル	Jungle
wuff	woof
Leider	Alas
严	yan
电源	Power
recitation	背誦
Puppen	Doll
science	naturwissenschaften
tenacity	韧性
supplies	lieferungen
Coolers	Kühler
Surprise	惊奇
Phd	doktor
beweisen	Proving
walls	mauern
complete	komplett
teilte	Shared
Averting	abzuwenden
Findings	Erkenntnisse
Streb	Face
cohabiting	同居
Beichte	Confession
open	开馆
Could	Konnte
Gerät	Apparatus
流罪	exile
Commenced	begonnen
größter	Largest
gewalttätig	Violent
binden	tie
杉原	sugihara
Tuxedo	タキシード
Guise	deckmantel
Packing	梱包
watari	亙理
乘數	multiplier
吸入	Inhale
Takako	貴子
pharmacology	Pharmakologie
Claim	認領
Logistische	Logistic
Bed	床
engineered	Konstruiert
Chasing	Jagen
Gaucho	ガウチョ
Tasten	Keys
Totengräber	Gravedigger
Honest	aufrichtig
stationäre	stationary
disconnected	Getrennt
ozawa	小澤
privatdozent	lecturer
shareholders	aktionäre
vorräte	Supplies
allow	zulassen
inadequate	Mangelhaft
zimmerman	ジマーマン
Densely	dicht
修繕	repair
rabbinische	Rabbinic
sex	Geschlechtsverkehr
komplette	Complete
Zusammenhänge	Correlations
火薬	gunpowder
Tobacco	Tabakanbau
グラフィティ	graffiti
Pornografischen	pornographic
丝	Silk
Anerkannt	acknowledged
torment	qualen
investitionen	investments
Disclosed	Weitergegeben
Diploma	文憑
Pasta	麵食
Boil	煮
Unvollkommenheit	Imperfection
客舱	cabin
Surprising	überraschend
detailed	详细
piräus	piraeus
marketing	マーケティング
Route	Anfahrt
handiwork	handarbeit
Meaningful	Sinnvoll
Medien	Media
香檳	champagne
Inside	內心
Recommend	薦める
Geschafft	done
ureinwohner	Natives
friction	Reibung
Overdose	überdosis
Bolsheviks	bolschewiken
色彩繽紛	colourful
beantwortung	reply
Doctrine	ドクトリン
Statues	statuen
suppress	壓制
vervielfachen	Multiplying
ashlar	werkstein
wanderlust	fernweh
共享	shared
animator	アニメーター
eingetroffen	arrived
Beteiligte	Participants
Nairobi	内罗毕
Beaches	buchten
austausch	exchange
nachts	Nights
デフォルト	Default
stündlich	Hourly
Beekeepers	Imker
Consignment	託運
fassaden	Facade
Distance	Entfernungen
ダンテ	Dante
Less	少
Bulky	笨重
problematic	Problematisch
leaf	叶っぱ
found	Gefunden
Torture	拷问
Diverging	Abweichende
混ぜる	Mix
Simulations	シミュレーション
センチメートル	Centimetres
Lifestyle	Lebensart
Firewood	Holz
Ceilings	Decke
grundstück	Plot
Trim	kürzen
Adidas	アディダス
Eel	aal
reduplikation	reduplication
Fuge	Fugue
Anbringen	affixing
地すべり	Landslide
Beware	achtung
futile	Sinnlos
Cyst	囊腫
Subtract	減算
ausgestattet	outfitted
最好	Best
leader	Leiter
Crafts	工芸
Polozk	polotsk
rectum	rektum
調任	Reassignment
asparagus	芦笋
photo	像片
banner	旗幟
stadtzentrum	centre
incorrect	falsch
einnahme	Intake
Handgelenke	wrists
wallet	geldbörse
Dallas	达拉斯
Practice	üben
minor	マイナー
merely	lediglich
incentive	Anregung
Abwechselnd	alternately
beschimpfen	insult
überlastet	overload
keltischen	Celtic
Würdige	Dignified
纠正	Correction
映画	movies
Blacklisted	ブラックリスト
Belisarius	Belisar
continue	Fortsetzen
诅咒	curse
outward	abflüsse
パルス	Pulse
hard	hart
pleistocene	Pleistozän
Poorest	Ärmsten
Realtor	Immobilienmakler
Bondage	Fesseln
Veterinary	veterinär
offertory	offertorium
aquakultur	Aquaculture
Achtlos	Heedless
跛腳	lame
Method	方法
prediction	vorhersage
Kot	faeces
trampoline	trampolin
bamako	巴马科
ガイガー	geiger
endete	Ended
außerirdischen	extraterrestrial
yashima	屋岛
Äpfel	apples
欠債	indebtedness
Handelspartner	Trading
handbrake	handbremse
俊彥	toshihiko
Ripples	Wellen
cowboys	カウボーイ
Predetermined	vorgegeben
Empfehle	Commend
Biomedizinische	biomedical
Cubism	Kubismus
ダウンロード	Download
Berater	Consultant
预算	budget
フレデリクトン	fredericton
universiade	ユニバーシアード
patronen	cartridges
Primitiv	crude
キッチュ	kitsch
angemessen	reasonable
Osroene	osrhoene
formerly	Zuvor
Extermination	灭绝
博览	expo
制动	braking
Größter	Biggest
Tretyakov	tretjakow
Pain	痛
读者	Reader
hopping	ホッピング
驼峰	humping
貧乏	paucity
Yoshiro	芳郎
Rebelliert	rebelling
tyranny	Tyrannei
sheets	bettwäsche
entsendung	Posting
cast	gegossen
Überproportional	disproportionate
misfortune	unglück
Classic	Klassiker
frechheit	Insolence
news	ニュース
Pyrotechnik	Pyrotechnics
Stability	Beständigkeit
possession	besessenheit
ノルチャ	norcia
fahrzeuge	Vehicles
Inspection	Kontrolle
Beeper	pieper
honored	Geehrte
沉沒	Sunken
Book	buch
belichtung	Exposure
Doctoral	doktorgrad
achievements	Erfolge
Fertigkeiten	abilities
Chroniken	Chronicles
Speculating	思索
Zuverlässig	reliably
Gully	溝渠
邀請	Invite
low	niedrigen
priests	priester
Unobstructed	ungehindert
单身	Single
Tsuchimikado	土御门
hintergrund	wallpaper
übel	Ills
Struggle	奋斗
殺人	murder
Größere	Bigger
geräumt	cleared
auslassen	skip
Tiresome	ermüdend
Abenteurer	Adventurer
Trdat	tiridates
Übergreifende	overarching
shahnameh	schāhnāme
kajak	canoeing
おもちゃ	Toy
loeb	ローブ
Therapeutic	Therapeutische
replication	Replikation
show	Zeigen
Chairmanship	Vorsitz
sagte	said
disturbance	擾亂
seclusion	abgeschiedenheit
空缺	vacant
gleichgestellt	assimilated
Cloning	Klonen
saugen	suction
verena	Brenda
expected	預期
Reform	Reforming
reno	雷诺
Gebühren	dues
Estimates	估计
kamm	ridge
stieg	climbed
tennis	Tennisplatz
Migrant	einwanderer
Reiniger	detergents
federations	verbänden
germanium	ゲルマニウム
katakana	片假名
iron	鋼鐵
不幸	Unhappy
コオロギ	crickets
Informationsblatt	Newsletter
überzeugen	Convince
ちび	tiny
Verzeichnis	Folder
beförderung	Carriage
Pharmaceutical	Pharmazie
Maid	hausmädchen
milius	ミリアス
yolks	卵黃
Survey	erhebung
春日野	Kasugano
パプリカ	Paprika
Nordosten	northeast
Materialismus	Materialism
zerfallen	Disintegrated
公分	Centimeter
variable	unterschiedlich
confiscated	沒收
Vollmacht	authorization
Oben	up
ismael	Ismail
Clung	Neigte
Männchen	Male
Blonde	金髮
Unproduktive	unproductive
Ermordeten	Murdered
beschädigung	damaging
prionen	Prions
實用	Practical
Needs	erfordernisse
Flug	Flights
select	Auswahl
Skilled	Fachkräfte
斷片	fragments
Extrapolation	Extrapolated
Districts	各区
隠れ家	hideout
Experimental	experimenteller
Asylum	避難
ドキュメント	documents
strassmann	straßmann
Dritten	Third
Rotate	drehung
huff	ハフ
wollte	Wanted
echo	回聲
veranstaltungsorte	Venues
briefcase	koffer
ノートン	norton
remained	verblieb
磁铁	magnet
暴民	Rabble
贵久	takahisa
eutrophierung	eutrophication
unverträglichkeit	incompatibility
Budgeted	Veranschlagt
Month	monat
polyethylene	Polyethylen
Unterzeichnete	Signed
キャンセル	Canceled
lymph	lymphe
boot	ブート
staggered	交错
Submission	提交
muslime	Muslim
Mendelejew	Mendeleev
league	同盟
合作	cooperation
vereinen	Unite
ammonites	Ammoniten
Ethnisch	Ethnicity
Emigranten	emigrants
pounds	磅
lear	リア
überzogen	coated
Würdevoll	dignified
name	名字
motorhaube	hood
bengal	Bengalen
Instrumentation	儀器
rückzug	Retreat
Prevents	beugt
fräsen	Milling
Hefei	合肥市
Volunteer	志願者
verspätung	delay
lumineszenz	luminescence
Hocker	stools
wissenschaft	Sci
counterpoint	対位法
tourist	旅游
Präsident	Chairman
reporter	journalistin
Sulfat	sulfate
truism	Binsenweisheit
Fuel	brennstoff
borrowers	Kreditnehmer
预期	expectations
內面	Inner
Sensibility	感性
Treppe	Stairway
konvent	convention
恩宠	grace
車輪	Wheels
Petschenegen	Pechenegs
風暴	storm
成果	Results
cullen	库伦
盗賊	bandits
yoshimori	义盛
Lushnja	lushnjë
踊り子	dancers
sieger	Victors
pickling	渍ける
Involvement	einbindung
rope	strick
wahlkreis	Constituencies
nötig	Neccessary
yoneyama	米山
sorglos	Carelessly
type	种类
stupidest	dümmste
Ngos	nro
Kühl	chilly
Transmission	Getriebe
エイリアン	aliens
automated	自動
Seyfert	セイファート
booklet	broschüre
广告	ad
Corpses	leichen
konsumiert	consumes
Chaotischen	chaotic
wahrheiten	Truths
forests	wäldern
Bohrlöcher	Boreholes
gambler	赌徒
widersteht	Resists
Weit	far
Meditation	besinnung
登錄	Registration
income	Einkommen
全職	Fulltime
Parentheses	括弧
fortbestand	survival
Pencil	Stift
disposal	endlagerung
structure	構成
Digest	Kompendium
受欢迎	Popular
Wettbewerbsrecht	Antitrust
储存	Stockpiles
students	生徒
crystallography	Kristallographie
wurf	litters
雙打	Doubles
dach	Roof
Kanu	kayaking
absent	不在
adapted	Angepaßt
deadline	stichtag
seitlich	lateral
puzzle	益智
lint	棉絮
tag	Markieren
hauled	Geschleppt
eleni	エレニ
gemeinnützige	nonprofit
Ayatollah	アーヤトッラー
conforms	entspricht
Romanticism	Romantik
reactor	reaktor
labor	勞工
stamps	切手
anfälligkeit	vulnerability
thrills	nervenkitzel
Verhungern	starve
antlia	luftpumpe
金丝雀	Canaries
Timing	zeitplan
最多	most
Provokation	provocative
Ohren	Ears
mascara	睫毛膏
Soil	土
呼び铃	Doorbell
continuance	fortbestehen
Theirs	Deren
Atwood	アトウッド
auction	versteigert
Bullet	子弹
Erwarten	expect
erweitern	broaden
labour	arbeitsmarkt
vitality	lebenskraft
Click	Klickt
biblical	biblischen
Genies	Geniuses
Deprived	Beraubt
covert	Verdeckte
Dentist	歯醫者
慶祝	celebration
Proceed	fortfahren
Speedboats	快艇
Ratio	Verhältnis
Differentiation	differenzierung
betrügt	cheats
Penal	Strafrecht
extras	zuschläge
容许	Permissible
Fortune	vermögen
haustieren	Pets
schulleiter	Principal
windows	窗
Advice	rat
skandinavier	scandinavians
Lehár	レハール
Importers	进口商
Weißen	White
Settlement	集落
Feels	fühlt
banking	bankwesen
Interface	Schnittstellen
tuebingen	テュービンゲン
Salvation	拯救
アトランティダ	atlántida
denials	leugnen
五木	Itsuki
derived	Abgeleiteten
reviewed	geprüft
porte	ポルテ
Dinge	things
Pornographie	Pornography
Ships	schiffe
modifikation	modifications
Ferien	Holiday
Boulogne	ブローニュ
泉	Izumi
Dye	Färben
needs	bedürfnisse
テレル	Terrell
Litre	Liter
Nobility	貴族
Actor	akteur
Discourage	Abschrecken
fehde	feud
阳明	yangming
Association	结社
endorsement	背书
自慢	Proud
unzähligen	countless
Overrides	überschreibt
迴圈	circulation
Altruism	利他主义
Beschuldigen	Blame
Desk	服務臺
contract	arbeitsvertrag
Brachytherapy	brachytherapie
Protectorate	protektorat
パケ	paquet
Metaphor	Metapher
Bewegungslos	Motionless
Jalta	Yalta
Souls	seele
manure	Gülle
patrons	Förderer
crumbling	Verfallenen
Guns	槍支
ikt	Ict
Can	Können
caricatures	Karikaturen
carole	Kerstin
Auszustatten	Equip
visas	Visa
キュート	cute
Devisen	forex
Salt	鹽
Bacteria	bakterium
ehebrecherin	Adulteress
胴體	torso
toe	zeh
Implicated	连座
verbesserung	Enhancement
abstand	Gap
map	地图
Entwickeln	developing
腰帶	belt
position	stellung
vorherrschende	prevalent
Drew	Zeichnete
perm	Gel
寿衣	Shroud
jackals	schakale
stoff	fabric
Scharf	Spicy
Rebell	Rebel
surveillance	監督
dyes	farbstoffe
Fasste	summed
berauben	deprive
Flown	geflogen
astrology	占星术
abzubauen	dismantle
Volunteers	Freiwilligenarbeit
Einfügungen	Insertions
Erbe	inheritance
großzügiger	generous
auftrag	Assignment
exhibition	展览
Domain	ドメイン
Inclusive	inklusive
Candlestick	烛台
Woiwodschaft	Voivodship
folder	ordner
beneficiaries	begünstigten
スリーブ	Sleeves
danach	then
erwecken	Awaken
運動場	stadium
reflektieren	reflect
woraufhin	Whereupon
Fyodorov	Fjodorow
Stimmungen	Mood
guesthouse	Gasthaus
Gregorianischen	Gregorian
Goodbye	abschied
entertainer	芸能人
Geschmolzen	Melted
Balkon	Balcony
repartee	Schlagabtausch
Griffen	grips
Substantial	Erhebliche
Farmhouses	ferienhaus
iron	アイロン
收缩	contractions
Website	网站
schauen	look
staatsbürgerschaft	Nationality
optimal	optimales
labeling	Beschriftung
Desire	欲望
納屋	barn
Reiches	rich
queries	查詢
贈収賄	Bribery
Klempner	plumbing
mental	geistig
hijacking	劫持
edelstein	gem
Sexualität	Sexuality
randgruppen	marginalised
serbischen	serbian
straffen	streamline
imagination	Einbildung
欺詐	fraudulent
海绵	sponge
Abbreviation	略称
Book	书籍
Schoolteacher	lehrerin
underlines	Unterstreicht
vorname	Name
Misappropriation	侵佔
Geklopft	knocking
Studentenverbindungen	fraternities
田辺	tanabe
Zuverlässig	Reliably
Gunter	Günter
inciting	煽动
擊劍	Fencing
Schmieren	grease
Beleidigend	offensive
reasoned	begründete
Besucht	Visited
eights	Achter
Nervös	edgy
Paket	packet
Ontologien	ontologies
alben	Albums
geistes	Spirit
flattened	abgeflacht
daishi	大师
定居点	Settlement
broschüren	Brochures
Devastation	Verwüstung
Flussufer	Riverside
corporation	konzern
Dreht	spins
变压器	transformer
Chairs	Stühle
Him	Er
Uranium	Uran
bully	惡霸
劣势	Outnumbered
unterzeichneten	Undersigned
Roar	咆哮
lob	Praises
Kosmetischen	cosmetic
bestand	Stock
lämmer	lamb
Bartholomew	バーソロミュー
noumea	Nouméa
rubles	卢布
オフィス	Offices
壁橱	closet
Meeresgrund	seabed
eid	oath
Soaps	Seife
銅	copper
モダン	modern
Temperament	氣質
栄え	flourished
Uncertainty	Unsicherheiten
穀倉	Barn
Voraussetzt	presupposes
backlash	Rückschlag
Contribution	出资
vorgeschichte	Background
landmark	Denkmal
Overcoming	克服
过労	overwork
Favors	Gefallen
選單	menu
Irritating	Ärgerlich
サザン	Southern
Greedy	贪婪
屍體	body
Expectations	期待
akronym	acronym
Dekade	Decade
描述	Descriptions
Hardworking	勤劳
张	zhang
automated	Automatisieren
Berühmter	Famous
Hendrik	Hendrick
学徒	Apprenticeships
赎罪	yom
终生	Lifetime
Browsers	瀏覽器
ブリュッヒャー	blücher
Damiano	ダミアーノ
混血儿	Hybrid
Ausnahmen	Exclusions
Vergießen	shedding
Skinny	スキニー
花园	Hanazono
renovated	renovierte
Hündchen	Puppy
いつか	Sometime
colic	絞痛
Pledged	Zugesagt
crowns	kronen
ケノーシャ	Kenosha
squares	quadrat
Lehrstuhl	chair
Ersatzteile	spare
Leak	austreten
Flucht	Flee
Cholesterin	Cholesterol
柴田	shibata
ジスルフィド	disulfide
Geese	Gänse
釈迦	Shaka
許容	permissible
生き方	Lifestyle
Will	Werde
sexismus	Sexism
Prescribed	verordnet
Distances	Distanzen
luftfahrtindustrie	aviation
Konkreten	Concrete
potatoes	马铃薯
angefochten	Challenged
China	porzellan
unite	Vereinen
bingo	ビンゴ
Vermeidet	Avoids
objections	Einsprüche
Unzweifelhaft	unquestionably
mordwinien	mordovia
unerwünschten	undesired
Restricted	Begrenzt
Betschuanaland	bechuanaland
Sequencer	Sequenzer
Schnauze	muzzle
Rücken	Ridge
taxonomists	taxonomen
意識	consciousness
träger	carrier
ベティ	betty
歯磨き粉	Toothpaste
Dear	Liebe
blida	ブリダ
Täter	offenders
情況	Situation
Intrusion	eindringen
vertrauen	confidence
Thresholds	schwellenwert
Passports	reisepass
研究所	Institute
Veal	kalbfleisch
millionen	million
ausgang	Exits
rhodos	Rhodes
有楽町	yurakucho
tonträger	Recordings
Spannungen	voltages
busy	besetzt
entdecken	discovering
disputed	beanstandete
Swirl	schwenken
depict	Abbilden
widerrufen	undo
Type	类型
feierliche	Solemn
sweets	Süßwaren
befestigten	Fortified
imminent	bevorstehenden
關東	Kanto
Prefers	Bevorzugen
Urashima	浦島
cultures	文化
defaults	違約
pratt	プラット
Fenstern	Windows
Human	Menschliche
Auszeichnung	distinction
Sulphur	Schwefeldioxid
revalued	Aufgewertet
Panik	Panic
兴趣	Interested
Tansania	zanzibar
Foodstuffs	Nahrungsmittel
konsistent	consistent
Bürgermeister	Mayor
承継	Succession
protests	Proteste
圓周	circumference
Notwendigerweise	necessarily
計畫	Plans
Desire	Begehren
startups	Gründungen
Hydrazine	Hydrazin
冷藏	Reefer
Costal	肋軟骨
drains	abflüsse
Verträgen	Treaties
unumgänglich	unavoidable
töte	Kill
僞	Pseudo
Restroom	toilette
Ultrasonic	超声波
烏	oo
Reinigung	cleaning
Bail	保釈
freundliche	Friendly
spectra	Spektren
sunday	週日
ケッセル	kessel
arbeitszimmer	Study
extra	zusätzlichen
Granulat	granular
Initiiert	initiates
Treasure	Schatzkammer
swordplay	schwertkampf
Suspected	vermutet
metaphor	隱喻
Kowaltschuk	kovalchuk
sings	Singt
krankheit	Illness
Arson	放火
帶	Belt
Abzug	Deduction
Drunks	säufer
Tragically	Tragisch
Clogged	Verstopft
render	レンダリング
Ratings	quoten
困	Sleepy
Unfortunately	leider
airstream	气流
volcanic	Vulkan
tafeln	Tablets
Quatsch	Bollocks
machbar	Doable
ロドリゲス	Rodriguez
高麗	goryeo
sanctions	制裁
チョコ	choco
accuracies	Genauigkeiten
Committee	Komitee
Traced	Aufgespürt
mikasa	三笠
Decade	jahrzehnt
Seasonal	jahreszeiten
Poems	Gedichte
newspaper	Zeitung
hairstyles	Frisuren
セルビア	serbia
Anwärter	Candidates
natürlich	Naturally
Pornography	Pornos
Umbenannt	renamed
Verstellbar	Adjustable
posters	Plakate
ädil	Aedile
oak	オーク
meteorological	Meteorologischen
連続	continuous
stagnieren	stagnation
gekreuzt	Crossed
beds	病床
Implementation	実裝
豌豆	pea
Kuri	庫裏
took	nahmen
fetzen	Rags
Purchaser	Käufer
bet	Wetten
製造	Manufactured
laroche	ラローシュ
einzuführen	Introduce
taskleiste	taskbar
manhattan	曼哈顿
Taucher	divers
鴿子	Pigeon
博學	Erudite
Rumors	Gerüchten
accomplish	vollbringen
synod	Konzil
unterhaltungen	Conversations
Liable	haftet
Vorgänger	Predecessor
dough	teig
chlorination	Chlorierung
observation	观测
悲剧	tragedy
Kuhschelle	Vernalis
spezialist	Specialist
studs	nieten
verängstigt	Scared
Kaspar	caspar
liturgische	Liturgical
Untersagt	Banned
encirclement	einkesselung
rookie	新秀
Smoking	吸烟
authorisation	Genehmigung
stench	gestank
pinched	geklaut
Sauer	pissed
External	Außen
Rechtswidrig	unlawful
pipe	Rohr
Clerks	书记
Baggerarbeiten	dredging
リナーテ	Linate
丸子	balls
援助	Assistance
Unterdrücker	Oppressors
Abgrund	precipice
rare	難得
Jiangsu	江苏省
analogy	analog
expanded	expandiert
maschinenbau	mechanics
Baschkiren	Bashkirs
angelegenheit	matter
Hoyt	ホイト
突袭	raids
indivisibility	Unteilbarkeit
nachbar	neighbours
bonus	红利
Straflosigkeit	impunity
聰	Satoshi
schließen	Closes
orkan	Hurricane
Verdrängt	Ousted
Heated	加熱
Ungehindert	Unhindered
cage	käfige
advancement	fortschritt
auswandern	Emigration
Vorstufe	Prepress
オリエント	orient
Staub	Dust
